scope,predictor,outcome,method,samples,estimate,lower,upper,permutation_p_value,confidence,resamples
all_development,rf_floor_mae,rf_mean_wait_saved_s,pearson,20,-0.47592664524212075,-0.7465264386238549,0.03654976206932688,0.034482758620689655,0.95,2000
all_development,rf_floor_mae,rf_mean_wait_saved_s,spearman,20,-0.3584931185076166,-0.7405596073827105,0.15863297646639252,0.12293853073463268,0.95,2000
all_development,rf_total_demand_mae,rf_mean_wait_saved_s,pearson,20,-0.3829849874246817,-0.6969963710303368,0.10956510847328321,0.09045477261369315,0.95,2000
all_development,rf_total_demand_mae,rf_mean_wait_saved_s,spearman,20,-0.28754921716084614,-0.7212385947024915,0.2418000989238593,0.21489255372313842,0.95,2000
all_development,rf_top3_floor_overlap,rf_mean_wait_saved_s,pearson,20,0.09505103489507871,-0.1820422135136369,0.35242335533103497,0.6761619190404797,0.95,2000
all_development,rf_top3_floor_overlap,rf_mean_wait_saved_s,spearman,20,0.09746917346164527,-0.337690743005728,0.5119138979812781,0.6866566716641679,0.95,2000
all_development,rf_floor_mae,forecast_control_gap_s,pearson,20,0.0617914334513403,-0.6380728312519972,0.6020953233980287,0.8035982008995503,0.95,2000
all_development,rf_floor_mae,forecast_control_gap_s,spearman,20,-0.10591417691672918,-0.5636236571037765,0.3875912581762127,0.6606696651674163,0.95,2000
high_demand,rf_floor_mae,rf_mean_wait_saved_s,pearson,4,0.6743348556679982,-1.0,1.0,0.27886056971514245,0.95,2000
high_demand,rf_floor_mae,rf_mean_wait_saved_s,spearman,4,0.39999999999999997,-1.0,1.0,0.7416291854072964,0.95,2000
high_demand,rf_total_demand_mae,rf_mean_wait_saved_s,pearson,4,0.8583606842878378,-1.0,1.0,0.0864567716141929,0.95,2000
high_demand,rf_total_demand_mae,rf_mean_wait_saved_s,spearman,4,0.7999999999999999,-1.0,1.0,0.3243378310844578,0.95,2000
high_demand,rf_top3_floor_overlap,rf_mean_wait_saved_s,pearson,4,-0.14068635983705452,-1.0,1.0,0.6686656671664168,0.95,2000
high_demand,rf_top3_floor_overlap,rf_mean_wait_saved_s,spearman,4,0.0,-1.0,1.0,1.0,0.95,2000
high_demand,rf_floor_mae,forecast_control_gap_s,pearson,4,0.758633505915888,0.7187324684060981,1.0,0.511744127936032,0.95,2000
high_demand,rf_floor_mae,forecast_control_gap_s,spearman,4,0.7745966692414834,0.7745966692414834,1.0,0.49375312343828087,0.95,2000
unseen_surge,rf_floor_mae,rf_mean_wait_saved_s,pearson,4,-0.44265844075116206,-1.0,1.0,0.6156921539230384,0.95,2000
unseen_surge,rf_floor_mae,rf_mean_wait_saved_s,spearman,4,-0.7999999999999999,-1.0,1.0,0.32533733133433285,0.95,2000
unseen_surge,rf_total_demand_mae,rf_mean_wait_saved_s,pearson,4,-0.3988381441219933,-1.0,1.0,0.7211394302848576,0.95,2000
unseen_surge,rf_total_demand_mae,rf_mean_wait_saved_s,spearman,4,-0.6000000000000001,-1.0,1.0,0.4097951024487756,0.95,2000
unseen_surge,rf_top3_floor_overlap,rf_mean_wait_saved_s,pearson,4,0.025606028366984928,-1.0,1.0,1.0,0.95,2000
unseen_surge,rf_top3_floor_overlap,rf_mean_wait_saved_s,spearman,4,0.19999999999999998,-1.0,1.0,0.8950524737631185,0.95,2000
unseen_surge,rf_floor_mae,forecast_control_gap_s,pearson,4,0.17550384173913341,-1.0,1.0,0.8260869565217391,0.95,2000
unseen_surge,rf_floor_mae,forecast_control_gap_s,spearman,4,0.7999999999999999,-1.0,1.0,0.3213393303348326,0.95,2000
validation,rf_floor_mae,rf_mean_wait_saved_s,pearson,12,-0.31316375917509626,-0.7220499870643096,0.28234251789660275,0.3293353323338331,0.95,2000
validation,rf_floor_mae,rf_mean_wait_saved_s,spearman,12,-0.2253577008652796,-0.7215061718966735,0.44857991273432424,0.47276361819090457,0.95,2000
validation,rf_total_demand_mae,rf_mean_wait_saved_s,pearson,12,0.010339673494997682,-0.6278997350491611,0.562539145060438,0.974512743628186,0.95,2000
validation,rf_total_demand_mae,rf_mean_wait_saved_s,spearman,12,0.007042428152039987,-0.8384386263586608,0.6845904854696195,0.9905047476261869,0.95,2000
validation,rf_top3_floor_overlap,rf_mean_wait_saved_s,pearson,12,0.01128960166520731,-0.4695694353120217,0.4418677943130201,0.9600199900049975,0.95,2000
validation,rf_top3_floor_overlap,rf_mean_wait_saved_s,spearman,12,-0.24648498532139956,-0.781021897810219,0.4858339823999138,0.447776111944028,0.95,2000
validation,rf_floor_mae,forecast_control_gap_s,pearson,12,-0.11665920887111109,-0.7505412219198686,0.3933687743374523,0.7171414292853573,0.95,2000
validation,rf_floor_mae,forecast_control_gap_s,spearman,12,-0.23240012901731957,-0.8392022783217244,0.47836400295952153,0.48225887056471767,0.95,2000
