evaluation,horizon_minutes,model,samples,floor_mae,floor_rmse,total_demand_mae,lobby_mae,upper_floor_mae,mean_bias,top3_floor_overlap
train,1,random_forest,2600,0.4661373707233217,0.6706800612796139,2.052825501816783,1.0953229875240413,0.4211955409518417,-0.00022772137104894887,0.6348717948717949
train,1,ridge,2600,0.5617208048742106,0.8896917666363028,2.7718724050014174,1.7648617530421578,0.4757821657193573,0.0022472274703567476,0.40871794871794864
train,1,historical_mean,2600,0.5826251282051284,0.9167934644238344,2.828330769230769,1.7561384615384612,0.4988027472527472,-4.372570681600617e-18,0.35641025641025637
train,1,persistence,2600,0.6595641025641026,1.2133551702740502,3.635,2.243846153846154,0.5464010989010989,0.0008461538461538462,0.3755128205128205
train,1,per_floor_mean,2600,0.7863986587771203,1.3651376013469998,3.9285502958579883,3.5606603550295852,0.5882371090448014,5.830094242134155e-18,0.35025641025641024
validation,1,random_forest,780,0.5818093092457753,0.88802642562236,2.87515530132326,1.679057779509789,0.5034344185126316,0.009470955107375646,0.34658119658119657
validation,1,ridge,780,0.5855017010649619,0.9187123694158749,2.937404001186408,1.8216468702760062,0.4972056175498874,0.0021791406743703148,0.3717948717948718
validation,1,historical_mean,780,0.5871350427350428,0.914933559775473,2.9101538461538463,1.7218974358974357,0.506080586080586,0.002153846153846148,0.31666666666666665
validation,1,persistence,780,0.6447863247863248,1.167289211191512,3.6538461538461537,2.1243589743589744,0.5391025641025641,0.00017094017094017094,0.3863247863247863
validation,1,per_floor_mean,780,0.789230177514793,1.3759169508445275,3.961321499013806,3.5983589743589746,0.5885781205973514,0.002153846153846177,0.3384615384615385
train,2,random_forest,2560,0.6383722627286014,0.8972816240989677,2.8367500537835246,1.4170947272133552,0.582749229551119,-0.0012108797647392504,0.6694010416666666
train,2,ridge,2560,0.8309398176893005,1.3256446446533865,4.211119108180814,2.7025319983846963,0.6972546619253437,0.00330044310346812,0.46171875
train,2,historical_mean,2560,0.86269140625,1.3817109901917501,4.306984375,2.6025312499999997,0.7384171316964286,9.62193288008469e-18,0.4032552083333334
train,2,persistence,2560,1.225859375,2.100155004200087,6.279296875,3.926171875,1.0329799107142856,0.001796875,0.3712239583333333
train,2,per_floor_mean,2560,1.266314249674479,2.4541715004252147,7.0072897338867195,6.8316882324218735,0.8687875366210938,4.7369515717340015e-17,0.3805989583333333
validation,2,random_forest,768,0.8777317076845415,1.3459018438739891,4.580949407968969,2.5990409633763885,0.7547810465636952,0.010294499401677471,0.38498263888888884
validation,2,historical_mean,768,0.8931302083333333,1.4147550521694165,4.5111328125000005,2.703125,0.7638448660714287,0.0024392361111111155,0.3506944444444444
validation,2,ridge,768,0.9026247807051037,1.4371608070360942,4.71268075141024,3.008185991776328,0.7522275513428734,0.00047295262467726945,0.4110243055555555
validation,2,persistence,768,1.206857638888889,2.0603524172658747,6.420572916666667,3.8190104166666665,1.0202752976190477,0.002690972222222222,0.38715277777777773
validation,2,per_floor_mean,768,1.282509019639757,2.502337776182509,7.124979654947917,6.948765055338541,0.8777764456612722,0.0024392361111111624,0.3741319444444444
train,5,random_forest,2440,0.9144880129978393,1.3057720804890929,4.251145136712388,2.0239468749506657,0.83524095142978,-0.006026827542806729,0.7181693989071039
train,5,ridge,2440,1.4730158212777067,2.506172366044107,8.247587725746536,5.491253217781858,1.185998864384553,0.006390469459502828,0.5207650273224043
train,5,historical_mean,2440,1.5196743169398907,2.532440182647662,7.927344262295082,4.64955737704918,1.2961112412177986,2.6402680891632138e-17,0.45901639344262296
train,5,per_floor_mean,2440,2.733359670339514,5.7154589970209075,16.24965735017468,16.85318194033862,1.7248009367681498,-7.454874604696133e-17,0.4153005464480874
train,5,persistence,2440,2.955273224043716,4.866386884689236,14.73155737704918,9.256147540983607,2.5052107728337236,0.015437158469945355,0.3830601092896175
validation,5,random_forest,732,1.5775399365715106,2.554098667085082,9.109224916472645,4.89320162814622,1.3407069586018885,0.005710016203351471,0.42167577413479046
validation,5,historical_mean,732,1.6014061930783245,2.619866634768048,8.709562841530055,4.794972677595629,1.3732943013270882,0.002959927140255045,0.3989071038251366
validation,5,ridge,732,1.6890573965172202,2.8782734317854812,9.372883054563648,6.441959970465473,1.3495643555209165,0.012431769867229327,0.47632058287795986
validation,5,per_floor_mean,732,2.7722553674340826,5.8435138109414995,16.565668950998834,17.164859356803724,1.744212225336251,0.0029599271402549264,0.4066484517304189
validation,5,persistence,732,2.9451730418943534,4.83064745421958,15.478142076502733,9.136612021857923,2.502927400468384,0.01639344262295082,0.395719489981785
