feature,importance
origin_floor_0_last_3m,0.303711270622201
origin_floor_0_last_5m,0.25473172735460803
elapsed_fraction,0.09330261129344478
origin_floor_0_last_10m,0.06823350508425848
time_sin,0.0419272730473619
time_cos,0.0330581893422833
total_origin_last_10m,0.01999286521135556
total_origin_last_3m,0.01587345382028263
total_origin_last_5m,0.014036762447237583
destination_floor_0_last_3m,0.008125603416372458
scenario_evening,0.00782282054853069
origin_floor_4_last_10m,0.006808707079326617
origin_floor_8_last_10m,0.005395027525335388
origin_floor_12_last_10m,0.004713535495403894
origin_floor_7_last_10m,0.004304336875651922
origin_floor_13_last_10m,0.004267590658979211
origin_floor_9_last_10m,0.004264901707658292
origin_floor_10_last_10m,0.004202633081813989
origin_floor_3_last_10m,0.004167598861385031
origin_floor_2_last_10m,0.0037552201809983657
scenario_morning,0.00368058301001208
origin_floor_6_last_10m,0.003651067357558979
origin_floor_0_last_1m,0.0034857019981476187
origin_floor_14_last_10m,0.003340882116536282
origin_floor_1_last_10m,0.0032227689322689174
origin_floor_11_last_10m,0.00295910088317849
scenario_mixed,0.0028251681965466365
origin_floor_5_last_10m,0.0024894117728765527
origin_floor_14_last_5m,0.002323454090629669
total_origin_last_1m,0.0022681448217495796
origin_floor_8_last_5m,0.002168572338812284
origin_floor_0_recent_trend,0.0021245367035542142
destination_floor_3_last_3m,0.0021109548194751825
origin_floor_7_last_5m,0.0019852114948346712
origin_floor_4_last_5m,0.0018929396843508888
origin_floor_9_last_5m,0.0018754178994751032
destination_floor_1_last_3m,0.0018748211801609023
destination_floor_10_last_3m,0.0018614646770764144
origin_floor_6_last_5m,0.0018256241176053745
origin_floor_12_last_5m,0.0016334160174520272
destination_floor_2_last_3m,0.001603070190455764
origin_floor_6_last_3m,0.0015903702340575433
origin_floor_10_last_5m,0.0015882305897207132
origin_floor_13_last_5m,0.0015378942614693292
destination_floor_13_last_3m,0.0015192286583409385
destination_floor_7_last_3m,0.0015175719114192147
origin_floor_3_last_5m,0.0015122508287085475
origin_floor_1_last_5m,0.0014575936527990855
destination_floor_12_last_3m,0.0014538643734653364
destination_floor_8_last_3m,0.0014362196811512106
destination_floor_6_last_3m,0.00141066337358968
origin_floor_2_last_5m,0.001408978079323567
destination_floor_5_last_3m,0.0013493926982287544
origin_floor_11_last_5m,0.001345598925913976
destination_floor_9_last_3m,0.0013268547684200205
destination_floor_14_last_3m,0.001289737414074037
destination_floor_4_last_3m,0.0012670384476767356
origin_floor_1_last_3m,0.001087155855131461
destination_floor_11_last_3m,0.0010737321635015493
origin_floor_5_last_5m,0.0010467744579471295
origin_floor_10_last_3m,0.001013334281450862
origin_floor_7_last_3m,0.000986627513318293
origin_floor_12_last_3m,0.0009816658461455964
origin_floor_4_last_3m,0.0009451813584884196
origin_floor_14_last_3m,0.0009265646312494094
origin_floor_3_last_3m,0.0009152263153504695
origin_floor_9_last_3m,0.0008435631116752661
origin_floor_8_last_3m,0.000804942958447113
origin_floor_13_last_3m,0.0007797823560655719
origin_floor_2_last_3m,0.0007435391116874087
origin_floor_11_last_3m,0.0007360650535528326
origin_floor_10_recent_trend,0.0006587143195106964
origin_floor_7_recent_trend,0.0006042442164777912
origin_floor_13_recent_trend,0.0006040618847859073
origin_floor_11_recent_trend,0.0005845275402223653
origin_floor_6_recent_trend,0.0005743507283862164
origin_floor_12_recent_trend,0.0005712977537222884
origin_floor_5_last_3m,0.000570224062518343
origin_floor_4_recent_trend,0.0005413866839223562
origin_floor_8_recent_trend,0.0004857493824466468
origin_floor_1_recent_trend,0.0004433807095983521
origin_floor_5_recent_trend,0.00043343435809409925
origin_floor_2_recent_trend,0.0004326017105941541
origin_floor_9_recent_trend,0.000413899954147139
origin_floor_3_recent_trend,0.00036407174996922896
origin_floor_14_recent_trend,0.00035657614582372706
origin_floor_6_last_1m,0.00030742830364951823
origin_floor_11_last_1m,0.00027212689020003
origin_floor_10_last_1m,0.0002592078589396472
scenario_lunch,0.00019864212535246662
origin_floor_2_last_1m,0.00017794378210988032
origin_floor_7_last_1m,0.0001772870473863622
origin_floor_12_last_1m,0.0001739099563821779
origin_floor_4_last_1m,0.00015428510928161077
origin_floor_3_last_1m,0.00014098304050956753
origin_floor_5_last_1m,0.00013526462931394035
origin_floor_13_last_1m,0.00012435015508664046
origin_floor_14_last_1m,0.00011881209733844819
origin_floor_8_last_1m,0.00011419831786247844
origin_floor_1_last_1m,0.00011093977754794917
origin_floor_9_last_1m,0.0001025108392031128
