evaluation,policy,days,passengers,mean_wait_s,p95_wait_s,long_wait_rate,mean_journey_s,floor_fairness_gap_s,floors_travelled,reversals,capacity_utilization_peak,drain_seconds
high_demand,static_zoning,4,1136.25,18.31998784814077,60.43749999999994,0.051847773467215794,61.507592860692945,17.235069836129412,3949.0,310.5,0.9375,61.75
high_demand,oracle_positioning,4,1136.25,19.265928139509626,66.07499999999993,0.06387517401439531,62.90786759354561,17.704121621835167,3953.25,310.0,0.9791666666666666,66.25
high_demand,nearest_car,4,1136.25,19.32408111568213,66.78749999999997,0.06943191887636685,62.55295466401277,18.3166036961639,3973.0,312.75,0.9791666666666666,53.0
high_demand,tuned_random_forest,4,1136.25,19.446437321479575,67.07499999999993,0.06512726082574757,62.39200782726848,18.668976984365486,3953.0,308.5,0.9791666666666666,57.25
high_demand,uncertainty_gated_random_forest,4,1136.25,19.446437321479575,67.07499999999993,0.06512726082574757,62.39200782726848,18.668976984365486,3953.0,308.5,0.9791666666666666,57.25
high_demand,regime_gated_random_forest,4,1136.25,19.447409138777925,67.07499999999993,0.06512726082574757,62.39297964456683,18.668976984365486,3953.0,308.75,0.9791666666666666,57.25
unseen_surge,nearest_car,4,855.75,13.97400586176699,47.67499999999998,0.025653757146672288,54.413721162064306,15.038835913190752,3544.25,275.0,1.0,46.0
unseen_surge,regime_gated_random_forest,4,855.75,15.377739213783455,55.32499999999996,0.045218227709889494,55.603181554143916,15.504896214896215,3611.25,276.5,1.0,46.5
unseen_surge,tuned_random_forest,4,855.75,15.377739213783455,55.32499999999996,0.045218227709889494,55.603181554143916,15.504896214896215,3611.25,276.5,1.0,46.5
unseen_surge,uncertainty_gated_random_forest,4,855.75,15.377739213783455,55.32499999999996,0.045218227709889494,55.603181554143916,15.504896214896215,3611.25,276.5,1.0,46.5
unseen_surge,oracle_positioning,4,855.75,15.520851603779242,55.04999999999998,0.039154566861908276,56.43337104201973,15.216166253101738,3613.25,276.0,1.0,46.0
unseen_surge,static_zoning,4,855.75,15.640652301761074,55.44999999999996,0.04065150533890123,55.39671440017961,17.817625623014866,3768.75,293.5,1.0,49.25
validation,static_zoning,12,759.0833333333334,15.151892322224876,50.74583333333331,0.035829385501005555,52.80052045443512,17.298350908457433,3872.8333333333335,295.75,0.8611111111111112,40.0
validation,tuned_random_forest,12,759.0833333333334,15.245393729880513,49.47083333333333,0.03308633761082747,53.17076338264746,17.18710126759515,3725.5,286.4166666666667,0.8333333333333334,39.916666666666664
validation,uncertainty_gated_random_forest,12,759.0833333333334,15.245393729880513,49.47083333333333,0.03308633761082747,53.17076338264746,17.18710126759515,3725.5,286.4166666666667,0.8333333333333334,39.916666666666664
validation,regime_gated_random_forest,12,759.0833333333334,15.264056214206141,50.09583333333333,0.0341490777574096,53.23502724037544,16.611133879812243,3712.6666666666665,284.75,0.8402777777777778,39.916666666666664
validation,oracle_positioning,12,759.0833333333334,15.378534081760451,50.16666666666665,0.03417579540100261,53.30766155417942,16.03786916317835,3734.9166666666665,285.6666666666667,0.8194444444444445,40.833333333333336
validation,nearest_car,12,759.0833333333334,15.62720928359196,49.4625,0.03413396457200655,53.617055444195636,17.03165569030121,3679.25,284.25,0.8402777777777778,38.916666666666664
