evaluation,horizon_minutes,model,samples,floor_mae,floor_rmse,total_demand_mae,lobby_mae,upper_floor_mae,mean_bias,top3_floor_overlap
train,2,random_forest,2560,0.6383722627286014,0.8972816240989677,2.8367500537835246,1.4170947272133552,0.582749229551119,-0.0012108797647392472,0.6694010416666666
train,2,ridge,2560,0.8309398176893005,1.3256446446533865,4.211119108180814,2.7025319983846963,0.6972546619253437,0.00330044310346812,0.46171875
train,2,elman_rnn,2560,0.8570363663289668,1.3851895573071178,4.355444972736417,2.823934676585522,0.7165436298820699,-0.013550807544815061,0.4268229166666666
train,2,historical_mean,2560,0.86269140625,1.3817109901917501,4.306984375,2.6025312499999997,0.7384171316964286,9.62193288008469e-18,0.4032552083333334
train,2,persistence,2560,1.225859375,2.100155004200087,6.279296875,3.926171875,1.0329799107142856,0.001796875,0.3712239583333333
train,2,per_floor_mean,2560,1.266314249674479,2.4541715004252147,7.0072897338867195,6.8316882324218735,0.8687875366210938,4.7369515717340015e-17,0.3805989583333333
validation,2,random_forest,768,0.8777317076845415,1.3459018438739894,4.580949407968969,2.5990409633763885,0.7547810465636952,0.010294499401677466,0.38498263888888884
validation,2,historical_mean,768,0.8931302083333333,1.4147550521694165,4.5111328125000005,2.703125,0.7638448660714287,0.0024392361111111155,0.3506944444444444
validation,2,ridge,768,0.9026247807051037,1.4371608070360942,4.71268075141024,3.008185991776328,0.7522275513428734,0.00047295262467726945,0.4110243055555555
validation,2,elman_rnn,768,0.9092602796751464,1.4745798217225292,4.779826544578359,3.0456286173050313,0.7566625412730117,0.012709985549258314,0.38628472222222215
validation,2,persistence,768,1.206857638888889,2.0603524172658747,6.420572916666667,3.8190104166666665,1.0202752976190477,0.002690972222222222,0.38715277777777773
validation,2,per_floor_mean,768,1.282509019639757,2.502337776182509,7.124979654947917,6.948765055338541,0.8777764456612722,0.0024392361111111624,0.3741319444444444
