sample_id,day_id,split,scenario,seed,input_start_minute,input_end_minute_exclusive,target_start_minute,target_end_minute_exclusive,horizon_minutes
train-morning-00-m010-h2,train-morning-00,train,morning,10000,0,10,10,12,2
train-morning-00-m011-h2,train-morning-00,train,morning,10000,1,11,11,13,2
train-morning-00-m012-h2,train-morning-00,train,morning,10000,2,12,12,14,2
train-morning-00-m013-h2,train-morning-00,train,morning,10000,3,13,13,15,2
train-morning-00-m014-h2,train-morning-00,train,morning,10000,4,14,14,16,2
train-morning-00-m015-h2,train-morning-00,train,morning,10000,5,15,15,17,2
train-morning-00-m016-h2,train-morning-00,train,morning,10000,6,16,16,18,2
train-morning-00-m017-h2,train-morning-00,train,morning,10000,7,17,17,19,2
train-morning-00-m018-h2,train-morning-00,train,morning,10000,8,18,18,20,2
train-morning-00-m019-h2,train-morning-00,train,morning,10000,9,19,19,21,2
train-morning-00-m020-h2,train-morning-00,train,morning,10000,10,20,20,22,2
train-morning-00-m021-h2,train-morning-00,train,morning,10000,11,21,21,23,2
train-morning-00-m022-h2,train-morning-00,train,morning,10000,12,22,22,24,2
train-morning-00-m023-h2,train-morning-00,train,morning,10000,13,23,23,25,2
train-morning-00-m024-h2,train-morning-00,train,morning,10000,14,24,24,26,2
train-morning-00-m025-h2,train-morning-00,train,morning,10000,15,25,25,27,2
train-morning-00-m026-h2,train-morning-00,train,morning,10000,16,26,26,28,2
train-morning-00-m027-h2,train-morning-00,train,morning,10000,17,27,27,29,2
train-morning-00-m028-h2,train-morning-00,train,morning,10000,18,28,28,30,2
train-morning-00-m029-h2,train-morning-00,train,morning,10000,19,29,29,31,2
train-morning-00-m030-h2,train-morning-00,train,morning,10000,20,30,30,32,2
train-morning-00-m031-h2,train-morning-00,train,morning,10000,21,31,31,33,2
train-morning-00-m032-h2,train-morning-00,train,morning,10000,22,32,32,34,2
train-morning-00-m033-h2,train-morning-00,train,morning,10000,23,33,33,35,2
train-morning-00-m034-h2,train-morning-00,train,morning,10000,24,34,34,36,2
train-morning-00-m035-h2,train-morning-00,train,morning,10000,25,35,35,37,2
train-morning-00-m036-h2,train-morning-00,train,morning,10000,26,36,36,38,2
train-morning-00-m037-h2,train-morning-00,train,morning,10000,27,37,37,39,2
train-morning-00-m038-h2,train-morning-00,train,morning,10000,28,38,38,40,2
train-morning-00-m039-h2,train-morning-00,train,morning,10000,29,39,39,41,2
train-morning-00-m040-h2,train-morning-00,train,morning,10000,30,40,40,42,2
train-morning-00-m041-h2,train-morning-00,train,morning,10000,31,41,41,43,2
train-morning-00-m042-h2,train-morning-00,train,morning,10000,32,42,42,44,2
train-morning-00-m043-h2,train-morning-00,train,morning,10000,33,43,43,45,2
train-morning-00-m044-h2,train-morning-00,train,morning,10000,34,44,44,46,2
train-morning-00-m045-h2,train-morning-00,train,morning,10000,35,45,45,47,2
train-morning-00-m046-h2,train-morning-00,train,morning,10000,36,46,46,48,2
train-morning-00-m047-h2,train-morning-00,train,morning,10000,37,47,47,49,2
train-morning-00-m048-h2,train-morning-00,train,morning,10000,38,48,48,50,2
train-morning-00-m049-h2,train-morning-00,train,morning,10000,39,49,49,51,2
train-morning-00-m050-h2,train-morning-00,train,morning,10000,40,50,50,52,2
train-morning-00-m051-h2,train-morning-00,train,morning,10000,41,51,51,53,2
train-morning-00-m052-h2,train-morning-00,train,morning,10000,42,52,52,54,2
train-morning-00-m053-h2,train-morning-00,train,morning,10000,43,53,53,55,2
train-morning-00-m054-h2,train-morning-00,train,morning,10000,44,54,54,56,2
train-morning-00-m055-h2,train-morning-00,train,morning,10000,45,55,55,57,2
train-morning-00-m056-h2,train-morning-00,train,morning,10000,46,56,56,58,2
train-morning-00-m057-h2,train-morning-00,train,morning,10000,47,57,57,59,2
train-morning-00-m058-h2,train-morning-00,train,morning,10000,48,58,58,60,2
train-morning-00-m059-h2,train-morning-00,train,morning,10000,49,59,59,61,2
train-morning-00-m060-h2,train-morning-00,train,morning,10000,50,60,60,62,2
train-morning-00-m061-h2,train-morning-00,train,morning,10000,51,61,61,63,2
train-morning-00-m062-h2,train-morning-00,train,morning,10000,52,62,62,64,2
train-morning-00-m063-h2,train-morning-00,train,morning,10000,53,63,63,65,2
train-morning-00-m064-h2,train-morning-00,train,morning,10000,54,64,64,66,2
train-morning-00-m065-h2,train-morning-00,train,morning,10000,55,65,65,67,2
train-morning-00-m066-h2,train-morning-00,train,morning,10000,56,66,66,68,2
train-morning-00-m067-h2,train-morning-00,train,morning,10000,57,67,67,69,2
train-morning-00-m068-h2,train-morning-00,train,morning,10000,58,68,68,70,2
train-morning-00-m069-h2,train-morning-00,train,morning,10000,59,69,69,71,2
train-morning-00-m070-h2,train-morning-00,train,morning,10000,60,70,70,72,2
train-morning-00-m071-h2,train-morning-00,train,morning,10000,61,71,71,73,2
train-morning-00-m072-h2,train-morning-00,train,morning,10000,62,72,72,74,2
train-morning-00-m073-h2,train-morning-00,train,morning,10000,63,73,73,75,2
train-morning-01-m010-h2,train-morning-01,train,morning,10001,0,10,10,12,2
train-morning-01-m011-h2,train-morning-01,train,morning,10001,1,11,11,13,2
train-morning-01-m012-h2,train-morning-01,train,morning,10001,2,12,12,14,2
train-morning-01-m013-h2,train-morning-01,train,morning,10001,3,13,13,15,2
train-morning-01-m014-h2,train-morning-01,train,morning,10001,4,14,14,16,2
train-morning-01-m015-h2,train-morning-01,train,morning,10001,5,15,15,17,2
train-morning-01-m016-h2,train-morning-01,train,morning,10001,6,16,16,18,2
train-morning-01-m017-h2,train-morning-01,train,morning,10001,7,17,17,19,2
train-morning-01-m018-h2,train-morning-01,train,morning,10001,8,18,18,20,2
train-morning-01-m019-h2,train-morning-01,train,morning,10001,9,19,19,21,2
train-morning-01-m020-h2,train-morning-01,train,morning,10001,10,20,20,22,2
train-morning-01-m021-h2,train-morning-01,train,morning,10001,11,21,21,23,2
train-morning-01-m022-h2,train-morning-01,train,morning,10001,12,22,22,24,2
train-morning-01-m023-h2,train-morning-01,train,morning,10001,13,23,23,25,2
train-morning-01-m024-h2,train-morning-01,train,morning,10001,14,24,24,26,2
train-morning-01-m025-h2,train-morning-01,train,morning,10001,15,25,25,27,2
train-morning-01-m026-h2,train-morning-01,train,morning,10001,16,26,26,28,2
train-morning-01-m027-h2,train-morning-01,train,morning,10001,17,27,27,29,2
train-morning-01-m028-h2,train-morning-01,train,morning,10001,18,28,28,30,2
train-morning-01-m029-h2,train-morning-01,train,morning,10001,19,29,29,31,2
train-morning-01-m030-h2,train-morning-01,train,morning,10001,20,30,30,32,2
train-morning-01-m031-h2,train-morning-01,train,morning,10001,21,31,31,33,2
train-morning-01-m032-h2,train-morning-01,train,morning,10001,22,32,32,34,2
train-morning-01-m033-h2,train-morning-01,train,morning,10001,23,33,33,35,2
train-morning-01-m034-h2,train-morning-01,train,morning,10001,24,34,34,36,2
train-morning-01-m035-h2,train-morning-01,train,morning,10001,25,35,35,37,2
train-morning-01-m036-h2,train-morning-01,train,morning,10001,26,36,36,38,2
train-morning-01-m037-h2,train-morning-01,train,morning,10001,27,37,37,39,2
train-morning-01-m038-h2,train-morning-01,train,morning,10001,28,38,38,40,2
train-morning-01-m039-h2,train-morning-01,train,morning,10001,29,39,39,41,2
train-morning-01-m040-h2,train-morning-01,train,morning,10001,30,40,40,42,2
train-morning-01-m041-h2,train-morning-01,train,morning,10001,31,41,41,43,2
train-morning-01-m042-h2,train-morning-01,train,morning,10001,32,42,42,44,2
train-morning-01-m043-h2,train-morning-01,train,morning,10001,33,43,43,45,2
train-morning-01-m044-h2,train-morning-01,train,morning,10001,34,44,44,46,2
train-morning-01-m045-h2,train-morning-01,train,morning,10001,35,45,45,47,2
train-morning-01-m046-h2,train-morning-01,train,morning,10001,36,46,46,48,2
train-morning-01-m047-h2,train-morning-01,train,morning,10001,37,47,47,49,2
train-morning-01-m048-h2,train-morning-01,train,morning,10001,38,48,48,50,2
train-morning-01-m049-h2,train-morning-01,train,morning,10001,39,49,49,51,2
train-morning-01-m050-h2,train-morning-01,train,morning,10001,40,50,50,52,2
train-morning-01-m051-h2,train-morning-01,train,morning,10001,41,51,51,53,2
train-morning-01-m052-h2,train-morning-01,train,morning,10001,42,52,52,54,2
train-morning-01-m053-h2,train-morning-01,train,morning,10001,43,53,53,55,2
train-morning-01-m054-h2,train-morning-01,train,morning,10001,44,54,54,56,2
train-morning-01-m055-h2,train-morning-01,train,morning,10001,45,55,55,57,2
train-morning-01-m056-h2,train-morning-01,train,morning,10001,46,56,56,58,2
train-morning-01-m057-h2,train-morning-01,train,morning,10001,47,57,57,59,2
train-morning-01-m058-h2,train-morning-01,train,morning,10001,48,58,58,60,2
train-morning-01-m059-h2,train-morning-01,train,morning,10001,49,59,59,61,2
train-morning-01-m060-h2,train-morning-01,train,morning,10001,50,60,60,62,2
train-morning-01-m061-h2,train-morning-01,train,morning,10001,51,61,61,63,2
train-morning-01-m062-h2,train-morning-01,train,morning,10001,52,62,62,64,2
train-morning-01-m063-h2,train-morning-01,train,morning,10001,53,63,63,65,2
train-morning-01-m064-h2,train-morning-01,train,morning,10001,54,64,64,66,2
train-morning-01-m065-h2,train-morning-01,train,morning,10001,55,65,65,67,2
train-morning-01-m066-h2,train-morning-01,train,morning,10001,56,66,66,68,2
train-morning-01-m067-h2,train-morning-01,train,morning,10001,57,67,67,69,2
